scenario,scenario_label,T,w_cost,w_time,w_env,x_elevator_mt,x_rocket_mt,rocket_launches,cost_trillion_usd,physical_emission_billion_tco2,environment_damage_billion,direct_site_environment_billion,nonlinear_environment_billion,objective_value,d_cost_plus,d_time_plus,d_environment_plus,lambda_cost,lambda_emission,beta_pressure,a_e,a_r
cost_schedule_priority,Cost + Schedule Priority,50,0.45,0.4,0.15,24.1647825,75.83521749999998,619063,96.77644305806308,0.8034415988720021,0.914872489730313,0.6462631220481594,0.17001705508215356,0.07871812243257825,0.0,0.0,0.314872489730313,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,51,0.45,0.4,0.15,24.648045000000007,75.35195499999999,615118,96.15495450724572,0.8006008215000481,0.909753789283202,0.6414488781109663,0.16774088757223574,0.07743844732080052,0.0,0.0,0.3097537892832021,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,52,0.45,0.4,0.15,25.13143,74.86856999999999,611172,95.17216275920332,0.7961440025826111,0.9029996268537026,0.6353506217331811,0.16511277072052147,0.07574990671342566,0.0,0.0,0.30299962685370263,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,53,0.45,0.4,0.15,25.614692500000007,74.3853075,607227,94.19370152638737,0.7917031190931124,0.8964612546415599,0.6293166999418878,0.16263660929967205,0.07411531366038998,0.0,0.0,0.2964612546415599,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,54,0.45,0.4,0.15,26.09807750000001,73.90192250000001,603281,93.58009570296116,0.788895993558628,0.8917126283492597,0.6246109594959145,0.16062151265334515,0.07292815708731493,0.0,0.0,0.2917126283492597,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,55,0.45,0.4,0.15,26.58134,73.41865999999999,599336,92.49834655658321,0.7840049113939912,0.8864826753425865,0.6184845798301208,0.15954622831246562,0.07162066883564663,0.0,0.0,0.28648267534258653,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,56,0.45,0.4,0.15,27.0646025,72.9353975,595391,91.53392171933945,0.7796192594367984,0.8801443034647073,0.6125256988165535,0.15719502644815378,0.07003607586617683,0.0,0.0,0.2801443034647073,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,57,0.45,0.4,0.15,27.547864999999998,72.452135,591446,90.93184803094852,0.776862827598089,0.8756090287823017,0.6079038190449019,0.15530992053739995,0.06890225719557544,0.0,0.0,0.27560902878230176,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,58,0.45,0.4,0.15,28.031127499999997,71.96887249999999,587501,89.9752160362354,0.7725083028179899,0.8694821632342905,0.6020006968752007,0.15311446615908977,0.06737054080857263,0.0,0.0,0.26948216323429053,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,59,0.45,0.4,0.15,28.514512499999995,71.4854875,583555,89.02486549493656,0.7681785050440794,0.8634739136718306,0.5961309993745136,0.15100370329731697,0.06586847841795765,0.0,0.0,0.2634739136718306,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,60,0.45,0.4,0.15,28.997897499999993,71.0021025,579609,87.96912606066698,0.7633877649518452,0.8583931647539493,0.5901577134420384,0.14992402951191103,0.06459829118848734,0.0,0.0,0.25839316475394936,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,61,0.45,0.4,0.15,29.48116,70.51884,575664,87.37972119108332,0.7606868601634518,0.8541119817100672,0.5856470581253486,0.14818179078471863,0.0635279954275168,0.0,0.0,0.2541119817100672,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,62,0.45,0.4,0.15,29.964422500000005,70.0355775,571719,86.44481953429377,0.7564193289878927,0.8482228910714511,0.5798415527900651,0.14612649448138587,0.062055722767862774,0.0,0.0,0.24822289107145112,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,63,0.45,0.4,0.15,30.447685000000003,69.55231500000001,567774,85.51739059616791,0.7521820768268734,0.8423977258939666,0.5740676874191063,0.1441034836748603,0.06059943147349165,0.0,0.0,0.24239772589396658,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,64,0.45,0.4,0.15,30.931070000000005,69.06893,563828,84.93497316830634,0.7495114629303568,0.8384004697406189,0.5696599459592497,0.1425417581813691,0.059600117435154726,0.0,0.0,0.2384004697406189,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,65,0.45,0.4,0.15,31.414332500000004,68.5856675,559883,83.90479424229068,0.7448231917985251,0.833492075499579,0.5637777398795037,0.14154385902007527,0.058373018874894766,0.0,0.0,0.23349207549957907,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,66,0.45,0.4,0.15,31.897717500000006,68.1022825,555937,82.99285804742003,0.7406489884262677,0.8277593658099416,0.5580598103956979,0.13955686801424366,0.05693984145248541,0.0,0.0,0.2277593658099416,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,67,0.45,0.4,0.15,32.38098,67.61901999999999,551992,82.42178191775925,0.7380292577746256,0.8238966325527692,0.553723913746897,0.13805832040587213,0.055974158138192315,0.0,0.0,0.22389663255276926,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,68,0.45,0.4,0.15,32.864242499999996,67.1357575,548047,81.52055405710202,0.7339000233700119,0.8182380746135935,0.5480501629856283,0.1361018022279653,0.054559518653398385,0.0,0.0,0.21823807461359357,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,69,0.45,0.4,0.15,33.347505,66.65249500000002,544102,80.62695386806672,0.7298022051940709,0.8126275570116537,0.5424070139045614,0.13416272270709226,0.053156889252913425,0.0,0.0,0.2126275570116537,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,70,0.45,0.4,0.15,33.83076749999999,66.16923249999999,540157,79.62394635932517,0.7252216924525419,0.8078676338897973,0.5366233784019746,0.13321472408782276,0.051966908472449336,0.0,0.0,0.20786763388979734,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,71,0.45,0.4,0.15,34.31403000000001,65.68597,536212,79.06336889522993,0.7226484598604497,0.8042716562195552,0.5323738082260266,0.1318966055935286,0.05106791405488881,0.0,0.0,0.20427165621955523,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,72,0.45,0.4,0.15,34.79741500000001,65.202585,532266,78.18500914193713,0.7186135080408234,0.7987368328064093,0.5267874821120675,0.12997589749434163,0.049684208201602326,0.0,0.0,0.1987368328064093,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,73,0.45,0.4,0.15,35.2806775,64.7193225,528321,77.31418337036588,0.7146098551781267,0.7932586896486631,0.521230064626846,0.12808346082181707,0.04831467241216578,0.0,0.0,0.1932586896486631,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,74,0.45,0.4,0.15,35.76406250000001,64.2359375,524375,76.76405249671521,0.7120840562103975,0.7897906095898052,0.5170367950719403,0.12683643951786483,0.0474476523974513,0.0,0.0,0.1897906095898052,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,75,0.45,0.4,0.15,36.247325000000004,63.752675,520430,75.78556704535262,0.7076036294519026,0.7851935403102948,0.5113435701856588,0.12596088412463585,0.046298385077573695,0.0,0.0,0.18519354031029478,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,76,0.45,0.4,0.15,36.73058750000001,63.269412499999994,516485,74.92956490258487,0.7036615730569312,0.7797966528340698,0.5058446972733118,0.12409115856075786,0.0502824965418508,0.0,1.0,0.17979665283406987,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,77,0.45,0.4,0.15,37.213849999999994,62.78614999999999,512540,74.38849900648547,0.7011768903357194,0.7765004636636691,0.5017112409588492,0.12295671470481997,0.05479178258258395,0.0,2.0,0.17650046366366912,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,78,0.45,0.4,0.15,37.697234999999985,62.30276499999999,508594,73.54267524745015,0.6972784340122482,0.7711619819154872,0.496251560110274,0.12110570300521328,0.058790495478871815,0.0,3.0,0.17116198191548726,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,79,0.45,0.4,0.15,38.18049749999999,61.81950250000001,504649,72.70420358087999,0.6934108852485924,0.7658708213750044,0.4908258376553478,0.11926855391965659,0.06280103867708445,0.0,4.0,0.16587082137500442,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,80,0.45,0.4,0.15,38.6638825,61.33611749999999,500703,71.75118895367132,0.6890331650427334,0.7614418456295504,0.48522531838588423,0.11846788664366609,0.06702712807405428,0.0,5.0,0.16144184562955044,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,81,0.45,0.4,0.15,39.14714500000001,60.85285499999999,496758,71.22305970628422,0.6866078381939408,0.7582791650469329,0.48115688539445656,0.11740192805247632,0.07156979126173324,0.0,6.0,0.15827916504693296,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,82,0.45,0.4,0.15,39.630407500000004,60.369592499999996,492813,70.39892391262235,0.6828005813422852,0.7530707657963345,0.4757864357676256,0.11559226742870889,0.07560102478241695,0.0,7.0,0.1530707657963345,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,83,0.45,0.4,0.15,40.113670000000006,59.88633,488868,69.58186942975124,0.6790232840078013,0.7479110290726961,0.47044522075036355,0.11380203472233255,0.07964442393484071,0.0,8.0,0.14791102907269615,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,84,0.45,0.4,0.15,40.597055,59.40294500000001,484922,69.06399547634078,0.6766456015210598,0.744845655104434,0.46642552235872975,0.11278414834570433,0.08421141377610851,0.0,9.0,0.14484565510443403,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,85,0.45,0.4,0.15,41.08031749999999,58.9196825,480977,68.13507315781145,0.6723681073984049,0.7405761986863013,0.46091654725656067,0.11205195602974066,0.08847738300490868,0.0,10.0,0.14057619868630133,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,86,0.45,0.4,0.15,41.56370249999999,58.4362975,477031,67.33203440558094,0.6686502787578088,0.7354949666414714,0.45562831315381724,0.1102867472876542,0.09254040832703453,0.0,11.0,0.13549496664147143,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,87,0.45,0.4,0.15,42.046964999999986,57.953035,473086,66.8248618417175,0.6663227265914644,0.7325035135264069,0.4516646881450946,0.1092872081813123,0.09712587838160174,0.0,12.0,0.13250351352640688,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,88,0.45,0.4,0.15,42.53022750000001,57.4697725,469141,66.0318766702229,0.6626489506478136,0.7274625920613069,0.44642387225858676,0.10751539160272004,0.10119898134866007,0.0,13.0,0.12746259206130695,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,89,0.45,0.4,0.15,43.013490000000004,56.986509999999996,465196,65.24583862995988,0.659004935998657,0.7224693397690303,0.44121012106542823,0.1057641795036019,0.10528400160892425,0.0,14.0,0.1224693397690303,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,90,0.45,0.4,0.15,43.4967525,56.5032475,461251,64.6265239425099,0.656176975036783,0.7204496613202702,0.4370758381395409,0.1059070729807293,0.11011241533006756,0.0,15.0,0.12044966132027024,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,91,0.45,0.4,0.15,43.980015,56.01998499999999,457306,63.8473342265968,0.6525623647434589,0.7154863919060507,0.4318888561692201,0.10415907453683051,0.11420493130984602,0.0,16.0,0.1154863919060507,0.005,0.003,2.5e-11,0.9,0.98
cost_schedule_priority,Cost + Schedule Priority,92,0.45,0.4,0.15,44.46340000000001,55.536599999999986,453360,63.074801110836525,0.6489763752965985,0.7105711686199634,0.4267281087078511,0.10243238791211234,0.11830945882165753,0.0,17.0,0.11057116861996341,0.005,0.003,2.5e-11,0.9,0.98
