scenario,scenario_label,w_cost,w_time,w_emission,x_elevator_mt,x_rocket_mt,rocket_launches,time_year,cost_trillion_usd,emission_billion_tco2,objective_value,d_cost_plus,d_time_plus,d_emission_plus,elevator_share,rocket_share,cost_vs_rocket_only,time_vs_target,emission_vs_rocket_only
cost_schedule_priority,Cost + Schedule Priority,0.45,0.4,0.15,26.849999999999994,73.15,585200,49.999999999999986,106.8506,0.841048,0.06026200000000002,0.0,0.0,0.24104800000000004,0.26849999999999996,0.7315,0.7503553370786517,0.9999999999999997,0.841048
environment_priority,Environment Priority,0.1,0.05,0.85,67.56762499999999,32.432375,259459,125.82425512104281,52.9404645,0.5999996599999999,0.07582425512104281,0.0,75.82425512104281,0.0,0.67567625,0.32432375,0.37177292485955055,2.516485102420856,0.5999996599999999
balanced,Balanced,0.3,0.25,0.45,26.849999999999994,73.15,585200,49.999999999999986,106.8506,0.841048,0.18078600000000003,0.0,0.0,0.24104800000000004,0.26849999999999996,0.7315,0.7503553370786517,0.9999999999999997,0.841048
