scenario,scenario_label,a_e,a_r,w_cost,w_time,w_emission,x_elevator_mt,x_rocket_mt,rocket_launches,time_year,cost_trillion_usd,emission_billion_tco2,objective_value,d_cost_plus,d_time_plus,d_emission_plus
cost_schedule_priority,Cost + Schedule Priority,0.9,0.98,0.45,0.4,0.15,24.164905000000005,75.835095,619062,49.99980343471964,112.60952649999999,0.8724203124000002,0.06810507810000005,0.0,0.0,0.2724203124000002
environment_priority,Environment Priority,0.9,0.98,0.1,0.05,0.85,68.6484525,31.3515475,255931,142.04107697082557,52.42056325,0.5999994362000001,0.09204107697082557,0.0,92.04107697082557,0.0
balanced,Balanced,0.9,0.98,0.3,0.25,0.45,24.165027500000008,75.83497249999999,619061,50.000056900475904,112.60936075,0.8724195622,0.20431495615237957,0.0,5.690047590434233e-05,0.2724195622000001
