rocket_launches,x_elevator_mt,x_rocket_mt,time_year,cost_trillion_usd,emission_billion_tco2
0,100.0,0.0,186.21973929236498,10.0,0.40800000000000003
80,99.99,0.010000000000005116,186.20111731843573,10.01324,0.4080592
160,99.98,0.01999999999999602,186.18249534450652,10.026480000000001,0.40811840000000005
240,99.97,0.030000000000001137,186.16387337057728,10.039719999999999,0.40817760000000003
320,99.96,0.04000000000000625,186.14525139664804,10.05296,0.4082368
400,99.95,0.04999999999999716,186.1266294227188,10.0662,0.40829600000000005
480,99.94,0.060000000000002274,186.10800744878955,10.07944,0.40835520000000003
560,99.93,0.06999999999999318,186.08938547486034,10.092680000000001,0.4084144
640,99.92,0.0799999999999983,186.0707635009311,10.105920000000001,0.40847360000000005
720,99.91,0.09000000000000341,186.05214152700185,10.119159999999999,0.40853280000000003
800,99.9,0.09999999999999432,186.03351955307264,10.132400000000002,0.40859200000000007
880,99.89,0.10999999999999943,186.01489757914337,10.14564,0.40865120000000005
960,99.88,0.12000000000000455,185.99627560521412,10.15888,0.4087104
1040,99.87,0.12999999999999545,185.9776536312849,10.172120000000001,0.40876960000000007
1120,99.86,0.14000000000000057,185.95903165735567,10.185360000000001,0.40882880000000005
1200,99.85,0.15000000000000568,185.94040968342642,10.198599999999999,0.40888800000000003
1280,99.84,0.1599999999999966,185.9217877094972,10.211840000000002,0.4089472
1360,99.83,0.1700000000000017,185.90316573556797,10.22508,0.4090064
1440,99.82,0.18000000000000682,185.8845437616387,10.23832,0.40906560000000003
1520,99.81,0.18999999999999773,185.86592178770948,10.251560000000001,0.40912480000000007
1600,99.8,0.20000000000000284,185.84729981378024,10.264800000000001,0.409184
1680,99.79,0.20999999999999375,185.82867783985103,10.27804,0.40924320000000003
1760,99.78,0.21999999999999886,185.81005586592178,10.291280000000002,0.4093024
1840,99.77,0.23000000000000398,185.79143389199254,10.30452,0.40936160000000005
1920,99.76,0.23999999999999488,185.77281191806333,10.317760000000002,0.4094208000000001
2000,99.75,0.25,185.75418994413405,10.331000000000001,0.40948
2080,99.74,0.2600000000000051,185.7355679702048,10.344240000000001,0.4095392
2160,99.73,0.269999999999996,185.7169459962756,10.35748,0.40959840000000003
2240,99.72,0.28000000000000114,185.69832402234636,10.370720000000002,0.40965760000000007
2320,99.71,0.29000000000000625,185.6797020484171,10.38396,0.4097168
2400,99.7,0.29999999999999716,185.6610800744879,10.3972,0.40977600000000003
2480,99.69,0.3100000000000023,185.64245810055866,10.410440000000001,0.4098352
2560,99.68,0.3199999999999932,185.6238361266294,10.423680000000001,0.40989440000000005
2640,99.67,0.3299999999999983,185.60521415270017,10.43692,0.4099536000000001
2720,99.66,0.3400000000000034,185.58659217877093,10.45016,0.4100128
2800,99.65,0.3499999999999943,185.5679702048417,10.463400000000002,0.41007200000000005
2880,99.64,0.35999999999999943,185.54934823091247,10.47664,0.41013120000000003
2960,99.63,0.37000000000000455,185.53072625698323,10.489880000000001,0.4101904
3040,99.62,0.37999999999999545,185.51210428305401,10.503120000000001,0.41024960000000005
3120,99.61,0.39000000000000057,185.49348230912474,10.51636,0.41030880000000003
3200,99.6,0.4000000000000057,185.4748603351955,10.5296,0.410368
3280,99.59,0.4099999999999966,185.4562383612663,10.542840000000002,0.41042720000000005
3360,99.58,0.4200000000000017,185.43761638733704,10.55608,0.41048640000000003
3440,99.57,0.4300000000000068,185.4189944134078,10.569320000000001,0.4105456
3520,99.56,0.4399999999999977,185.4003724394786,10.58256,0.41060480000000005
3600,99.55,0.45000000000000284,185.38175046554935,10.5958,0.41066400000000003
3680,99.54,0.45999999999999375,185.3631284916201,10.60904,0.41072320000000007
3760,99.53,0.46999999999999886,185.34450651769086,10.622280000000002,0.4107824
3840,99.52,0.480000000000004,185.32588454376162,10.63552,0.41084160000000003
3920,99.51,0.4899999999999949,185.3072625698324,10.648760000000001,0.41090080000000007
4000,99.5,0.5,185.28864059590316,10.662,0.41096000000000005
4080,99.49,0.5100000000000051,185.27001862197392,10.67524,0.41101920000000003
4160,99.48,0.519999999999996,185.25139664804468,10.68848,0.4110784
4240,99.47,0.5300000000000011,185.23277467411543,10.701720000000002,0.41113760000000005
4320,99.46,0.5400000000000063,185.2141527001862,10.71496,0.41119680000000003
4400,99.45,0.5499999999999972,185.19553072625698,10.728200000000001,0.41125600000000007
4480,99.44,0.5600000000000023,185.17690875232773,10.74144,0.4113152
4560,99.43,0.5699999999999932,185.15828677839852,10.75468,0.41137440000000003
4640,99.42,0.5799999999999983,185.13966480446928,10.76792,0.41143360000000007
4720,99.41,0.5900000000000034,185.12104283054,10.78116,0.41149280000000005
4800,99.4,0.5999999999999943,185.1024208566108,10.794400000000001,0.4115520000000001
4880,99.39,0.6099999999999994,185.08379888268155,10.80764,0.4116112
4960,99.38,0.6200000000000045,185.0651769087523,10.82088,0.4116704
5040,99.37,0.6299999999999955,185.0465549348231,10.83412,0.4117296000000001
5120,99.36,0.6400000000000006,185.02793296089385,10.84736,0.41178880000000007
5200,99.35,0.6500000000000057,185.0093109869646,10.8606,0.411848
5280,99.34,0.6599999999999966,184.99068901303536,10.873840000000001,0.41190720000000003
5360,99.33,0.6700000000000017,184.97206703910612,10.88708,0.4119664
5440,99.32,0.6800000000000068,184.95344506517688,10.90032,0.4120256
5520,99.31,0.6899999999999977,184.93482309124767,10.91356,0.41208480000000003
5600,99.3,0.7000000000000028,184.91620111731842,10.9268,0.412144
5680,99.29,0.7099999999999937,184.8975791433892,10.940040000000002,0.41220320000000005
5760,99.28,0.7199999999999989,184.87895716945997,10.953280000000001,0.41226240000000003
5840,99.27,0.730000000000004,184.8603351955307,10.96652,0.41232160000000007
5920,99.26,0.7399999999999949,184.84171322160148,10.979760000000002,0.41238080000000005
6000,99.25,0.75,184.82309124767224,10.993,0.41244000000000003
6080,99.24,0.7600000000000051,184.804469273743,11.00624,0.4124992
6160,99.23,0.769999999999996,184.78584729981378,11.019480000000001,0.41255840000000005
6240,99.22,0.7800000000000011,184.76722532588454,11.032720000000001,0.4126176
6320,99.21,0.7900000000000063,184.7486033519553,11.04596,0.4126768
6400,99.2,0.7999999999999972,184.72998137802605,11.059200000000002,0.41273600000000005
6480,99.19,0.8100000000000023,184.7113594040968,11.07244,0.41279520000000003
6560,99.18,0.8199999999999932,184.6927374301676,11.08568,0.41285440000000007
6640,99.17,0.8299999999999983,184.67411545623835,11.098920000000001,0.4129136
6720,99.16,0.8400000000000034,184.6554934823091,11.11216,0.41297280000000003
6800,99.15,0.8499999999999943,184.6368715083799,11.1254,0.41303200000000007
6880,99.14,0.8599999999999994,184.61824953445065,11.138640000000002,0.41309120000000005
6960,99.13,0.8700000000000045,184.59962756052138,11.15188,0.4131504
7040,99.12,0.8799999999999955,184.58100558659217,11.165120000000002,0.4132096
7120,99.11,0.8900000000000006,184.56238361266293,11.178360000000001,0.41326880000000005
7200,99.1,0.9000000000000057,184.54376163873368,11.1916,0.41332800000000003
7280,99.09,0.9099999999999966,184.52513966480447,11.20484,0.41338720000000007
7360,99.08,0.9200000000000017,184.50651769087523,11.21808,0.4134464
7440,99.07,0.9300000000000068,184.48789571694599,11.23132,0.4135056
7520,99.06,0.9399999999999977,184.46927374301674,11.24456,0.41356480000000007
7600,99.05,0.9500000000000028,184.4506517690875,11.257800000000001,0.41362400000000005
7680,99.04,0.9599999999999937,184.4320297951583,11.271040000000001,0.41368320000000003
7760,99.03,0.9699999999999989,184.41340782122904,11.28428,0.4137424
7840,99.02,0.980000000000004,184.3947858472998,11.29752,0.4138016
7920,99.01,0.9899999999999949,184.3761638733706,11.310760000000002,0.4138608000000001
8000,99.0,1.0,184.35754189944132,11.324,0.41392000000000007
8080,98.99,1.0100000000000051,184.33891992551207,11.337240000000001,0.4139792
8160,98.98,1.019999999999996,184.32029795158286,11.350480000000001,0.41403840000000003
8240,98.97,1.0300000000000011,184.30167597765362,11.36372,0.4140976
8320,98.96,1.0400000000000063,184.28305400372437,11.37696,0.41415680000000005
8400,98.95,1.0499999999999972,184.26443202979516,11.390200000000002,0.41421600000000003
8480,98.94,1.0600000000000023,184.24581005586592,11.40344,0.4142752
8560,98.93,1.0699999999999932,184.22718808193667,11.416680000000001,0.41433440000000005
8640,98.92,1.0799999999999983,184.20856610800743,11.429920000000001,0.41439360000000003
8720,98.91,1.0900000000000034,184.1899441340782,11.44316,0.4144528
8800,98.9,1.0999999999999943,184.17132216014897,11.4564,0.41451200000000005
8880,98.89,1.1099999999999994,184.15270018621973,11.469640000000002,0.41457120000000003
8960,98.88,1.1200000000000045,184.1340782122905,11.48288,0.4146304
9040,98.87,1.1299999999999955,184.11545623836128,11.496120000000001,0.41468960000000005
9120,98.86,1.1400000000000006,184.096834264432,11.509360000000001,0.41474880000000003
9200,98.85,1.1500000000000057,184.07821229050276,11.5226,0.414808
9280,98.84,1.1599999999999966,184.05959031657355,11.53584,0.41486720000000005
9360,98.83,1.1700000000000017,184.0409683426443,11.54908,0.41492640000000003
9440,98.82,1.1800000000000068,184.02234636871506,11.56232,0.41498559999999995
9520,98.81,1.1899999999999977,184.00372439478585,11.57556,0.41504480000000005
9600,98.8,1.2000000000000028,183.9851024208566,11.5888,0.41510400000000003
9680,98.79,1.2099999999999937,183.96648044692736,11.60204,0.41516320000000007
9760,98.78,1.2199999999999989,183.94785847299812,11.61528,0.41522240000000005
9840,98.77,1.230000000000004,183.92923649906888,11.62852,0.4152816
9920,98.76,1.2399999999999949,183.91061452513966,11.641760000000001,0.41534080000000007
10000,98.75,1.25,183.89199255121042,11.655,0.41540000000000005
10080,98.74,1.2600000000000051,183.87337057728118,11.66824,0.41545920000000003
10160,98.73,1.269999999999996,183.85474860335196,11.68148,0.4155184
10240,98.72,1.2800000000000011,183.8361266294227,11.69472,0.4155776
10320,98.71,1.2900000000000063,183.81750465549345,11.70796,0.41563680000000003
10400,98.7,1.2999999999999972,183.79888268156424,11.721200000000001,0.41569600000000007
10480,98.69,1.3100000000000023,183.780260707635,11.73444,0.41575520000000005
10560,98.68,1.3199999999999932,183.76163873370578,11.747680000000003,0.41581440000000003
10640,98.67,1.3299999999999983,183.74301675977654,11.76092,0.4158736
10720,98.66,1.3400000000000034,183.7243947858473,11.77416,0.41593280000000005
10800,98.65,1.3499999999999943,183.70577281191805,11.787400000000002,0.4159920000000001
10880,98.64,1.3599999999999994,183.6871508379888,11.800640000000001,0.4160512
10960,98.63,1.3700000000000045,183.66852886405957,11.81388,0.4161104
11040,98.62,1.3799999999999955,183.64990689013035,11.827120000000003,0.41616960000000003
11120,98.61,1.3900000000000006,183.6312849162011,11.84036,0.41622880000000007
11200,98.6,1.4000000000000057,183.61266294227187,11.8536,0.416288
11280,98.59,1.4099999999999966,183.59404096834263,11.866840000000002,0.41634720000000003
11360,98.58,1.4200000000000017,183.57541899441338,11.88008,0.4164064
11440,98.57,1.4300000000000068,183.55679702048414,11.89332,0.4164656
11520,98.56,1.4399999999999977,183.53817504655493,11.906560000000002,0.4165248000000001
11600,98.55,1.4500000000000028,183.51955307262568,11.9198,0.416584
11680,98.54,1.4599999999999937,183.50093109869647,11.933040000000002,0.41664320000000005
11760,98.53,1.4699999999999989,183.48230912476723,11.946280000000002,0.41670240000000003
11840,98.52,1.480000000000004,183.46368715083798,11.959520000000001,0.4167616
11920,98.51,1.4899999999999949,183.44506517690874,11.972760000000001,0.41682080000000005
12000,98.5,1.5,183.4264432029795,11.986,0.41688000000000003
12080,98.49,1.5100000000000051,183.40782122905026,11.99924,0.4169392
12160,98.48,1.519999999999996,183.38919925512104,12.01248,0.41699840000000005
12240,98.47,1.5300000000000011,183.3705772811918,12.025720000000002,0.41705760000000003
12320,98.46,1.5400000000000063,183.35195530726256,12.03896,0.4171168
12400,98.45,1.5499999999999972,183.33333333333331,12.052200000000001,0.41717600000000005
12480,98.44,1.5600000000000023,183.31471135940407,12.06544,0.41723520000000003
12560,98.43,1.5699999999999932,183.29608938547486,12.078680000000002,0.41729440000000007
12640,98.42,1.5799999999999983,183.27746741154562,12.09192,0.4173536
12720,98.41,1.5900000000000034,183.25884543761637,12.105160000000001,0.41741280000000003
12800,98.4,1.5999999999999943,183.24022346368716,12.118400000000001,0.41747200000000007
12880,98.39,1.6099999999999994,183.22160148975792,12.13164,0.41753120000000005
12960,98.38,1.6200000000000045,183.20297951582864,12.14488,0.41759040000000003
13040,98.37,1.6299999999999955,183.18435754189943,12.158120000000002,0.4176496
13120,98.36,1.6400000000000006,183.1657355679702,12.17136,0.41770880000000005
13200,98.35,1.6500000000000057,183.14711359404095,12.1846,0.41776800000000003
13280,98.34,1.6599999999999966,183.12849162011173,12.197840000000001,0.41782720000000007
13360,98.33,1.6700000000000017,183.1098696461825,12.211079999999999,0.4178864
13440,98.32,1.6800000000000068,183.09124767225325,12.22432,0.4179456
13520,98.31,1.6899999999999977,183.072625698324,12.237560000000002,0.41800480000000007
13600,98.3,1.7000000000000028,183.05400372439476,12.2508,0.41806400000000005
13680,98.29,1.7099999999999937,183.03538175046555,12.264040000000001,0.4181232000000001
13760,98.28,1.7199999999999989,183.0167597765363,12.277280000000001,0.4181824
13840,98.27,1.730000000000004,182.99813780260706,12.29052,0.4182416
13920,98.26,1.7399999999999949,182.97951582867785,12.30376,0.4183008000000001
14000,98.25,1.75,182.9608938547486,12.317,0.41836000000000007
14080,98.24,1.7600000000000051,182.94227188081933,12.33024,0.4184192
14160,98.23,1.769999999999996,182.92364990689012,12.34348,0.41847840000000003
14240,98.22,1.7800000000000011,182.90502793296088,12.356720000000001,0.4185376
14320,98.21,1.7900000000000063,182.88640595903163,12.369959999999999,0.41859680000000005
14400,98.2,1.7999999999999972,182.86778398510242,12.3832,0.4186560000000001
14480,98.19,1.8100000000000023,182.84916201117318,12.39644,0.4187152
14560,98.18,1.8199999999999932,182.83054003724396,12.409680000000002,0.41877440000000005
14640,98.17,1.8299999999999983,182.8119180633147,12.42292,0.41883360000000003
14720,98.16,1.8400000000000034,182.79329608938545,12.436160000000001,0.41889280000000007
14800,98.15,1.8499999999999943,182.77467411545624,12.4494,0.41895200000000005
14880,98.14,1.8599999999999994,182.756052141527,12.46264,0.41901120000000003
14960,98.13,1.8700000000000045,182.73743016759775,12.47588,0.4190704
15040,98.12,1.8799999999999955,182.71880819366854,12.489120000000002,0.41912960000000005
15120,98.11,1.8900000000000006,182.7001862197393,12.50236,0.41918880000000003
15200,98.1,1.9000000000000057,182.68156424581002,12.515600000000001,0.419248
15280,98.09,1.9099999999999966,182.6629422718808,12.52884,0.41930720000000005
15360,98.08,1.9200000000000017,182.64432029795157,12.542079999999999,0.41936640000000003
15440,98.07,1.9300000000000068,182.62569832402232,12.55532,0.4194256
15520,98.06,1.9399999999999977,182.6070763500931,12.568560000000002,0.4194848
