scenario,scenario_label,w_cost,w_time,w_emission,x_elevator_mt,x_rocket_mt,rocket_launches,time_year,cost_trillion_usd,emission_billion_tco2,objective_value,d_cost_plus,d_time_plus,d_emission_plus,elevator_share,rocket_share,cost_vs_rocket_only,time_vs_target,emission_vs_rocket_only
cost_schedule_priority,Cost + Schedule Priority,0.45,0.4,0.15,26.850000000000023,73.14999999999998,585200,50.0,106.85059999999983,0.8410479999999989,0.06026199999999971,0.0,0.0,0.24104799999999885,0.26850000000000024,0.7314999999999998,0.7503553370786504,1.0,0.8410479999999989
environment_priority,Environment Priority,0.1,0.05,0.85,67.56762499999986,32.432375000000135,259459,125.82425512104284,52.94046449999998,0.5999996599999997,0.07582425512104284,0.0,75.82425512104284,0.0,0.6756762499999986,0.32432375000000135,0.37177292485955044,2.516485102420857,0.5999996599999997
balanced,Balanced,0.3,0.25,0.45,26.84999999999988,73.15000000000012,585200,50.0,106.85059999999987,0.8410479999999992,0.18078599999999942,0.0,0.0,0.24104799999999924,0.2684999999999988,0.7315000000000011,0.7503553370786508,1.0,0.8410479999999992
